"Start GG Name","Ladder Elo","Ladder Rank","Hidden Elo","Hidden Rank","Games Played","AOE Name","Bracket","Registered For"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-22/event/the-warchief-club/entrant/12445573"">Holy | Cosmos</a>","There was 0 matches for the string Cosmos","There was 0 matches","System.Object[]","1","System.Object[]","<a href=""https://aoe4world.com/players/4408860"">Cosmos</a>","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-22/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-22/event/the-warchief-club/entrant/12432515"">holy | Chuckfrancis</a>","There was 0 matches for the string Chuckfrancis","There was 0 matches","System.Object[]","1","System.Object[]","Chuckfrancis","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-22/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-22/event/the-warchief-club/entrant/12446205"">3D! | CAT</a>","There was 50 matches for the string CAT","There was 50 matches","System.Object[]","1","System.Object[]","CAT","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-22/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-22/event/the-warchief-club/entrant/12434063"">Tips</a>","There was 0 matches for the string Tips","There was 0 matches","System.Object[]","1","System.Object[]","<a href=""https://aoe4world.com/players/11830666"">Tips</a>","Pacific Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-22/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-22/event/the-warchief-club/entrant/12407971"">Galorys | LegolaS</a>","There was 0 matches for the string LegolaS","There was 0 matches","System.Object[]","1","System.Object[]","<a href=""https://aoe4world.com/players/9149364"">LegolaS</a>","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-22/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-22/event/the-warchief-club/entrant/12434779"">DivineDFP</a>","1877","14","1950","26","914","<a href=""https://aoe4world.com/players/585764"">DivineDFP</a>","Pacific Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-22/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-22/event/the-warchief-club/entrant/12416592"">3D! | Anotand</a>","1844","17","1874 (from 01/02/2023 09:54:15)","43","526","<a href=""https://aoe4world.com/players/8432378"">Anotand</a>","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-22/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-22/event/the-warchief-club/entrant/12451506"">SoldieR</a>","1624","66","1842","57","329","<a href=""https://aoe4world.com/players/608090"">SoldieR</a>","Pacific Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-22/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-22/event/the-warchief-club/entrant/12450103"">Pillars</a>","There was 0 matches for the string Pillars","There was 0 matches","1797","80","127","<a href=""https://aoe4world.com/players/7972932"">Pillars</a>","Pacific Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-22/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-22/event/the-warchief-club/entrant/12442884"">NyanRacingCat</a>","There was 1 matches for the string NyanRacingCat","There was 1 matches","1715 (from 01/02/2023 09:54:15)","112","67","<a href=""https://aoe4world.com/players/6880143"">NyanRacingCat</a>","Pacific Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-22/event/the-warchief-club"">The Warchief Club</a>"
