"AOE Name","Start GG Name","Ladder Elo","Ladder Rank","Hidden Elo","Hidden Rank","Games Played","Bracket","Registered For"
"SAS_","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-39/event/the-warchief-club/entrant/13505303"">SAS_</a>","There was 50 matches for the string SAS_","There was 50 matches","System.Object[]","1","System.Object[]","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-39/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/2942077"">Valdemar1902</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-39/event/the-warchief-club/entrant/13495760"">Valdemar1902</a>","1892","17","1924","35","2046","Saturday Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-39/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/769187"">Myriad</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-39/event/the-warchief-club/entrant/13505150"">Myriad</a>","1612","86","1744","126","787","Saturday Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-39/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/6971273"">M7</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-39/event/the-warchief-club/entrant/13503849"">M7</a>","There was 4 matches for the string M7","There was 4 matches","1652","186","136","Saturday Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-39/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/1335313"">Naheulbeuk</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-39/event/the-warchief-club/entrant/13470146"">Naheulbeuk</a>","1353","454","1670","198","88","Saturday Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-39/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/14970132"">Danjoll</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-39/event/the-warchief-club/entrant/13495542"">Danjoll</a>","1555","122","1599","329","38","Saturday Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-39/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/7046302"">SymbioseLegend</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-39/event/the-warchief-club/entrant/13485101"">PCS | SymbioseLegend</a>","1407","341","1564","352","876","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-39/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/8945737"">Gullyd3ck3l</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-39/event/the-warchief-club/entrant/13478518"">Gullyd3ck3l</a>","1500","166","1579","370","772","Saturday Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-39/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/4071458"">Dragevann</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-39/event/the-warchief-club/entrant/13504599"">VES | Dragevann</a>","1426","257","1530","516","426","Saturday Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-39/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/10045489"">Keyrun22</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-39/event/the-warchief-club/entrant/13462370"">Keyrun22</a>","1419","273","1516","562","663","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-39/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/9014000"">Ezra123</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-39/event/the-warchief-club/entrant/13479528"">Ezra123</a>","1425","261","1492","678","695","Saturday Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-39/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/6914972"">Rob_The_Viking_TV</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-39/event/the-warchief-club/entrant/13497850"">Rob_The_Viking_TV</a>","1328","513","1407","1179","2588","Saturday Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-39/event/the-warchief-club"">The Warchief Club</a>"
