"Start GG Name","Ladder Elo","Ladder Rank","Hidden Elo","Hidden Rank","Games Played","AOE Name","Bracket","Registered For"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-51/event/the-warchief-club/entrant/14420149"">NyanRacingCat</a>",,,"1705","","67","<a href=""https://aoe4world.com/players/6880143"">NyanRacingCat</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-51/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-51/event/the-warchief-club/entrant/14401175"">Shellbee</a>","1554","319","1669","169","963","<a href=""https://aoe4world.com/players/6514515"">Shellbee</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-51/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-51/event/the-warchief-club/entrant/14385932"">HOMS | HOMS-.-SENPAI</a>","1539","346","1627","439","256","<a href=""https://aoe4world.com/players/9101896"">HOMS-.-SENPAI</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-51/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-51/event/the-warchief-club/entrant/14411268"">Bouh'roh</a>","1492","454","1549","801","630","<a href=""https://aoe4world.com/players/4711473"">Bouh'roh</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-51/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-51/event/the-warchief-club/entrant/14387150"">HOMS | Scatterbrained</a>","1462","533","1533","918","368","<a href=""https://aoe4world.com/players/8130680"">Scatterbrained</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-51/event/the-warchief-club"">The Warchief Club</a>"
