"Start GG Name","Ladder Elo","Ladder Rank","Hidden Elo","Hidden Rank","Games Played","AOE Name","Bracket","Registered For"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-52/event/the-warchief-club/entrant/14482758"">Valdemar1902</a>","2014","29","1982","42","2465","<a href=""https://aoe4world.com/players/2942077"">Valdemar1902</a>","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-52/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-52/event/the-warchief-club/entrant/14483269"">VES | Dragevann</a>","1785","110","1807","140","660","<a href=""https://aoe4world.com/players/4071458"">Dragevann</a>","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-52/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-52/event/the-warchief-club/entrant/14471540"">Warsp1te</a>","1722","139","1777","156","475","<a href=""https://aoe4world.com/players/5075657"">Warsp1te</a>","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-52/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-52/event/the-warchief-club/entrant/14476776"">Naheulbeuk</a>","1400","1159","1634","417","104","<a href=""https://aoe4world.com/players/1335313"">Naheulbeuk</a>","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-52/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-52/event/the-warchief-club/entrant/14452045"">HOMS | HOMS-.-SENPAI</a>","1550","345","1630","444","261","<a href=""https://aoe4world.com/players/9101896"">HOMS-.-SENPAI</a>","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-52/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-52/event/the-warchief-club/entrant/14452029"">HOMS | Scatterbrained</a>","1505","434","1562","746","370","<a href=""https://aoe4world.com/players/8130680"">Scatterbrained</a>","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-52/event/the-warchief-club"">The Warchief Club</a>"
