"Start GG Name","Ladder Elo","Ladder Rank","Hidden Elo","Hidden Rank","Games Played","AOE Name","Bracket","Registered For"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club/entrant/17951909"">3D! | Bee</a>","There was 50 matches for the string Bee","There was 50 matches","System.Object[]","1","System.Object[]","<a href=""https://aoe4world.com/players/18781085"">Bee</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club/entrant/17938586"">LM_Dicynator (Tarlanors)</a>","There was 0 matches for the string LM_Dicynator (Tarlanors)","There was 0 matches","System.Object[]","1","System.Object[]","LM_Dicynator (Tarlanors)","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club/entrant/17942539"">GHG | Msn_dkTTV</a>","There was 0 matches for the string Msn_dkTTV","There was 0 matches","System.Object[]","1","System.Object[]","Msn_dkTTV","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club/entrant/17942189"">RoyalPleco</a>","There was 0 matches for the string RoyalPleco","There was 0 matches","System.Object[]","1","System.Object[]","RoyalPleco","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club/entrant/17938994"">Kaiser Johan</a>","1954","26","1960","34","1132","<a href=""https://aoe4world.com/players/2606764"">Kaiser Johan</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club/entrant/17935838"">Myriad</a>","1916","35","1921","47","2036","<a href=""https://aoe4world.com/players/769187"">Myriad</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club/entrant/17941038"">Warsp1te</a>","1849","55","1901","55","911","<a href=""https://aoe4world.com/players/5075657"">Warsp1te</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club/entrant/17934028"">kjj</a>","1855","51","1873","78","1226","<a href=""https://aoe4world.com/players/11628131"">kjj</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club/entrant/17943894"">Muhodo</a>","1815","65","1849","96","285","<a href=""https://aoe4world.com/players/10999320"">Muhodo</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club/entrant/17939651"">KnockKnock</a>","1814","66","1839","103","1516","<a href=""https://aoe4world.com/players/570060"">KnockKnock</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club/entrant/17900912"">Gullyd3ck3l</a>","1716","136","1784","158","2139","<a href=""https://aoe4world.com/players/8945737"">Gullyd3ck3l</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club/entrant/17943873"">Scatterbrained</a>","1731","110","1777","167","555","<a href=""https://aoe4world.com/players/8130680"">Scatterbrained</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club/entrant/17950737"">E-GEAR | Deniskya</a>","1703","156","1776","169","568","<a href=""https://aoe4world.com/players/14611083"">Deniskya</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club/entrant/17918393"">Trakor</a>","1710","148","1770","187","2001","<a href=""https://aoe4world.com/players/1712108"">PSR.Trakor</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club/entrant/17952442"">Crackedy</a>","2127","5","2097","4","1702","<a href=""https://aoe4world.com/players/230361"">CrackedyHere</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club/entrant/17951297"">Dragevann</a>","1617","259","1723","284","1540","<a href=""https://aoe4world.com/players/4071458"">Dragevann</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club/entrant/17944042"">RTK | Bigbees</a>",,,"1558","1171","150","<a href=""https://aoe4world.com/players/10720660"">Bigbees</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club/entrant/17951376"">VanDerDorf</a>","1600","306","1682","409","1536","<a href=""https://aoe4world.com/players/8185877"">VanDerDorf</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club/entrant/17918543"">RTF | Anovaku</a>","1601","299","1679","424","1338","<a href=""https://aoe4world.com/players/10427060"">Anovaku</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club/entrant/17942181"">TheMrMunch</a>","1508","497","1659","505","507","<a href=""https://aoe4world.com/players/10247166"">TheMrMunch</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club/entrant/17952688"">[DEBILS] | Araken</a>","There was 7 matches for the string Araken","There was 7 matches","1610","814","260","<a href=""https://aoe4world.com/players/8541368"">Araken</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club/entrant/17909769"">Ezra123</a>","1498","530","1602","877","1800","<a href=""https://aoe4world.com/players/9014000"">Ezra123</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club/entrant/17952547"">Taiga | Cow</a>","1512","465","1582","1087","937","<a href=""https://aoe4world.com/players/844518"">Cow</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club/entrant/17951373"">hosein81</a>","1337","1896","1454","3752","702","<a href=""https://aoe4world.com/players/11927895"">hosein81</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club/entrant/17942254"">Mikadoman</a>","1400","1369","1451","3832","1552","<a href=""https://aoe4world.com/players/2118113"">Mikadoman</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-93/event/the-warchief-club"">The Warchief Club</a>"
