"AOE Name","Start GG Name","Ladder Elo","Ladder Rank","Hidden Elo","Hidden Rank","Games Played","Bracket","Registered For"
"SAS_","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-40/event/the-warchief-club/entrant/13532858"">SAS_</a>","There was 50 matches for the string SAS_","There was 50 matches","System.Object[]","1","System.Object[]","Saturday Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-40/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/2942077"">Valdemar1902</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-40/event/the-warchief-club/entrant/13548211"">Valdemar1902</a>","2004","10","1991","21","2057","Saturday Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-40/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/769187"">Myriad</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-40/event/the-warchief-club/entrant/13568502"">Myriad</a>","1739","51","1793","82","811","Saturday Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-40/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/5075657"">Warsp1te</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-40/event/the-warchief-club/entrant/13559444"">Warsp1te</a>","1552","159","1754","113","349","Saturday Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-40/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/2606764"">Kaiser Johan</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-40/event/the-warchief-club/entrant/13554418"">Kaiser Johan</a>","1678","77","1745","122","512","Saturday Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-40/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/520130"">Chuckfrancis</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-40/event/the-warchief-club/entrant/13569197"">PCS | Chuckfrancis</a>","1702","65","1715","130","957","Saturday Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-40/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/7421328"">ISanych</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-40/event/the-warchief-club/entrant/13551076"">GG | ISanych</a>","There was 1 matches for the string ISanych","There was 1 matches","1669","167","142","Saturday Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-40/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/10247166"">TheMrMunch</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-40/event/the-warchief-club/entrant/13552056"">TheMrMunch</a>","1494","229","1688","168","354","Saturday Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-40/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/515937"">Ramen</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-40/event/the-warchief-club/entrant/13568380"">Ramen</a>","1580","135","1663","200","476","Saturday Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-40/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/8945737"">Gullyd3ck3l</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-40/event/the-warchief-club/entrant/13528522"">Gullyd3ck3l</a>","1536","169","1611","294","803","Saturday Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-40/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/7046302"">SymbioseLegend</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-40/event/the-warchief-club/entrant/13568434"">PCS | SymbioseLegend</a>","1407","442","1564","352","876","Saturday Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-40/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/7601016"">antihero3mio der VIII</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-40/event/the-warchief-club/entrant/13569755"">antihero3mio der VIII</a>","1495","227","1573","383","668","Saturday Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-40/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/6914972"">Rob_The_Viking_TV</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-40/event/the-warchief-club/entrant/13557922"">Rob_The_Viking_TV</a>","1308","701","1421","1088","2690","Saturday Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-40/event/the-warchief-club"">The Warchief Club</a>"
