"Start GG Name","Ladder Elo","Ladder Rank","Hidden Elo","Hidden Rank","Games Played","AOE Name","Bracket","Registered For"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-99/event/the-warchief-club/entrant/18342168"">Scatterbrained</a>","1794","43","1881","65","633","<a href=""https://aoe4world.com/players/8130680"">Scatterbrained</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-99/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-99/event/the-warchief-club/entrant/18343033"">VES | Dragevann</a>","1772","46","1829","109","1625","<a href=""https://aoe4world.com/players/4071458"">Dragevann</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-99/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-99/event/the-warchief-club/entrant/18342798"">Gullyd3ck3l</a>","1667","97","1761","195","2223","<a href=""https://aoe4world.com/players/8945737"">Gullyd3ck3l</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-99/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-99/event/the-warchief-club/entrant/18368846"">Realt1ger</a>","1549","219","1617","775","1383","<a href=""https://aoe4world.com/players/18504557"">Realt1ger</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-99/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-99/event/the-warchief-club/entrant/18375915"">edenov01</a>","There was 1 matches for the string edenov01","There was 1 matches","1589","1030","2693","<a href=""https://aoe4world.com/players/217881"">edenov01</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-99/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-99/event/the-warchief-club/entrant/18342132"">Reddarksider</a>","1520","257","1581","1111","1430","<a href=""https://aoe4world.com/players/6489303"">Reddarksider</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-99/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-99/event/the-warchief-club/entrant/18361846"">sirius123</a>","1436","404","1552","1526","1579","<a href=""https://aoe4world.com/players/5891864"">sirius123</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-99/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-99/event/the-warchief-club/entrant/18334764"">hosein81</a>","1423","440","1519","2355","790","<a href=""https://aoe4world.com/players/11927895"">hosein81</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-99/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-99/event/the-warchief-club/entrant/18375926"">SelFeu | Vincsis</a>","1436","405","1485","3105","938","<a href=""https://aoe4world.com/players/765095"">Vincsis</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-99/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-99/event/the-warchief-club/entrant/18375595"">Synthexor</a>","1360","744","1454","3921","940","<a href=""https://aoe4world.com/players/4780787"">Synthexor</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-99/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-99/event/the-warchief-club/entrant/18375992"">Yonko Sors</a>","1354","767","1452","3953","358","<a href=""https://aoe4world.com/players/19729067"">Yonko Sors</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-99/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-99/event/the-warchief-club/entrant/18375940"">Mikadoman</a>","989","4943","1276","10711","1575","<a href=""https://aoe4world.com/players/2118113"">Mikadoman</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-99/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-99/event/the-warchief-club/entrant/18375240"">SymbioseLegend</a>",,,"There was 0 matches for the string SymbioseLegend","There was 0 matches","There was 0 matches","<a href=""https://aoe4world.com/players/7046302"">SymbioseLegend</a>","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-99/event/the-warchief-club"">The Warchief Club</a>"
