"Start GG Name","Ladder Elo","Ladder Rank","Hidden Elo","Hidden Rank","Games Played","AOE Name","Bracket","Registered For"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-84/event/the-warchief-club/entrant/17029669"">3D! | CAT</a>","There was 50 matches for the string CAT","There was 50 matches","System.Object[]","1","System.Object[]","<a href=""https://aoe4world.com/players/19819461"">CAT</a>","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-84/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-84/event/the-warchief-club/entrant/17041784"">GHG | Msn_dkTTV</a>","There was 0 matches for the string Msn_dkTTV","There was 0 matches","System.Object[]","1","System.Object[]","Msn_dkTTV","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-84/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-84/event/the-warchief-club/entrant/17020780"">mYi | Anotand</a>","2016","28","2044","24","761","<a href=""https://aoe4world.com/players/8432378"">Anotand</a>","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-84/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-84/event/the-warchief-club/entrant/17041789"">Dragevann</a>","1776","101","1850","97","1385","<a href=""https://aoe4world.com/players/4071458"">Dragevann</a>","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-84/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-84/event/the-warchief-club/entrant/17041804"">LaSh</a>","1759","107","1831","108","3002","<a href=""https://aoe4world.com/players/3877183"">LaSh</a>","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-84/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-84/event/the-warchief-club/entrant/17041822"">LegolaS</a>","1723","128","1796","145","436","<a href=""https://aoe4world.com/players/2105776"">LegolaS</a>","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-84/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-84/event/the-warchief-club/entrant/17025616"">Gullyd3ck3l</a>","1676","169","1775","168","1778","<a href=""https://aoe4world.com/players/8945737"">Gullyd3ck3l</a>","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-84/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-84/event/the-warchief-club/entrant/17016983"">3D | ISanych</a>","1400","1235","1673","422","200","<a href=""https://aoe4world.com/players/7421328"">ISanych</a>","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-84/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-84/event/the-warchief-club/entrant/17028033"">HOMS | HOMS-.-SENPAI</a>","1596","332","1656","504","546","<a href=""https://aoe4world.com/players/9101896"">HOMS-.-SENPAI</a>","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-84/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-84/event/the-warchief-club/entrant/17017848"">Scatterbrained</a>",,,"1639","603","418","<a href=""https://aoe4world.com/players/8130680"">Scatterbrained</a>","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-84/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-84/event/the-warchief-club/entrant/17033286"">E-GEAR | Deniskya</a>","1451","694","1559","1300","517","<a href=""https://aoe4world.com/players/14611083"">Deniskya</a>","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-84/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-84/event/the-warchief-club/entrant/17022390"">Warsp1te</a>","1858","64","1870","83","825","<a href=""https://aoe4world.com/players/5075657"">Warsp1te</a>","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-84/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-84/event/the-warchief-club/entrant/17041953"">cosmos</a>","1588","347","1633","635","807","<a href=""https://aoe4world.com/players/11245462"">cosmos</a>","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-84/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-84/event/the-warchief-club/entrant/17041779"">Mikadoman</a>","1400","1805","1409","4312","1452","<a href=""https://aoe4world.com/players/2118113"">Mikadoman</a>","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-84/event/the-warchief-club"">The Warchief Club</a>"
