"AOE Name","Start GG Name","Ladder Elo","Ladder Rank","Hidden Elo","Hidden Rank","Games Played","Bracket","Registered For"
"Deniskya","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-60/event/the-warchief-club/entrant/15053557"">E-GEAR | Deniskya</a>","There was 2 matches for the string Deniskya","There was 2 matches","System.Object[]","1","System.Object[]","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-60/event/the-warchief-club"">The Warchief Club</a>"
"LM_Dicynator (Tarlanors)","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-60/event/the-warchief-club/entrant/15083770"">LM_Dicynator (Tarlanors)</a>","There was 0 matches for the string LM_Dicynator (Tarlanors)","There was 0 matches","System.Object[]","1","System.Object[]","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-60/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/15218890"">Elyona</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-60/event/the-warchief-club/entrant/15085899"">Elyona</a>","1965","19","1974","37","277","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-60/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/769187"">Myriad</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-60/event/the-warchief-club/entrant/15086023"">Myriad</a>","1810","63","1864","96","1347","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-60/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/4071458"">Dragevann</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-60/event/the-warchief-club/entrant/15067885"">VES | Dragevann</a>","1733","91","1814","149","835","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-60/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/3901430"">Tips</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-60/event/the-warchief-club/entrant/15069754"">Tips</a>","1759","80","1797","169","3343","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-60/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/5075657"">Warsp1te</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-60/event/the-warchief-club/entrant/15060667"">Warsp1te</a>","1702","108","1776","190","594","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-60/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/8269666"">TIGER</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-60/event/the-warchief-club/entrant/15047045"">E-GEAR | TIGER</a>","1659","135","1744","228","587","TWC Play-Ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-60/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/8185877"">VanDerDorf</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-60/event/the-warchief-club/entrant/15081972"">VanDerDorf</a>","1665","130","1713","286","1070","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-60/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/6880143"">NyanRacingCat</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-60/event/the-warchief-club/entrant/15081672"">NyanRacingCat</a>",,,"1707","291","77","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-60/event/the-warchief-club"">The Warchief Club</a>"
