"AOE Name","Start GG Name","Ladder Elo","Ladder Rank","Hidden Elo","Hidden Rank","Games Played","Bracket","Registered For"
"Chuckfrancis","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-21/event/the-warchief-club/entrant/12360707"">holy | Chuckfrancis</a>","There was 0 matches for the string Chuckfrancis","There was 0 matches","System.Object[]","1","System.Object[]","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-21/event/the-warchief-club"">The Warchief Club</a>"
"Choom","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-21/event/the-warchief-club/entrant/12341379"">Holy | Choom</a>","There was 9 matches for the string Choom","There was 9 matches","System.Object[]","1","System.Object[]","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-21/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/7972932"">Pillars</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-21/event/the-warchief-club/entrant/12381987"">Pillars</a>","There was 0 matches for the string Pillars","There was 0 matches","1797","79","127","Pacific Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-21/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/6880143"">NyanRacingCat</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-21/event/the-warchief-club/entrant/12375171"">NyanRacingCat</a>","There was 1 matches for the string NyanRacingCat","There was 1 matches","1715 (from 01/02/2023 09:54:15)","112","67","Pacific Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-21/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/8478599"">Donato</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-21/event/the-warchief-club/entrant/12362785"">Donato</a>","There was 0 matches for the string Donato","There was 0 matches","1666","170","332","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-21/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/3625707"">Holy.LeZouave</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-21/event/the-warchief-club/entrant/12378191"">Holy.LeZouave</a>","There was 0 matches for the string Holy.LeZouave","There was 0 matches","1659","178","491","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-21/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/7421328"">ISanych</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-21/event/the-warchief-club/entrant/12378790"">ISanych</a>","There was 1 matches for the string ISanych","There was 1 matches","1614 (from 01/02/2023 09:54:15)","218","136","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-21/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/6514515"">Shellbee</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-21/event/the-warchief-club/entrant/12374994"">Shellbee</a>","There was 1 matches for the string Shellbee","There was 1 matches","1603 (from 01/02/2023 09:54:15)","224","689","Pacific Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-21/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/1062281"">VerteX</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-21/event/the-warchief-club/entrant/12380569"">VerteX</a>","There was 0 matches for the string VerteX","There was 0 matches","1602","248","981","Pacific Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-21/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/6971273"">M7</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-21/event/the-warchief-club/entrant/12352408"">M7</a>","There was 0 matches for the string M7","There was 0 matches","1593","264","96","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-21/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/1453662"">fleeze</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-21/event/the-warchief-club/entrant/12378423"">fleeze</a>","There was 0 matches for the string fleeze","There was 0 matches","1585","279","500","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-21/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/6960007"">Pacomike</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-21/event/the-warchief-club/entrant/12363965"">Pacomike</a>","1446","29","1573","300","1000","Pacific Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-21/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/4071458"">Dragevann</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-21/event/the-warchief-club/entrant/12377865"">VES | Dragevann</a>","There was 0 matches for the string Dragevann","There was 0 matches","1506","475","277","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-21/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/9463451"">Niriw</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-21/event/the-warchief-club/entrant/12352333"">Niriw</a>","There was 0 matches for the string Niriw","There was 0 matches","1465","678","446","Pacific Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-21/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/7601016"">antihero3mio der VIII</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-21/event/the-warchief-club/entrant/12377712"">antihero3mio der VIII</a>","There was 0 matches for the string antihero3mio der VIII","There was 0 matches","1332 (from 01/02/2023 09:54:15)","1493","314","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-21/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/5598156"">Cow</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-21/event/the-warchief-club/entrant/12379460"">Sci | Cow</a>","There was 0 matches for the string Cow","There was 0 matches","1289","2023","81","Pacific Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-21/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/545800"">ZOMBI3KIL3R1481</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-21/event/the-warchief-club/entrant/12330559"">ZOMBI3KIL3R1481</a>","There was 0 matches for the string ZOMBI3KIL3R1481","There was 0 matches","1247","2692","176","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-21/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/9864634"">Altay</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-21/event/the-warchief-club/entrant/12379157"">Altay</a>","There was 0 matches for the string Altay","There was 0 matches","963 (from 01/02/2023 09:54:15)","13327","18","Atlantic Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-21/event/the-warchief-club"">The Warchief Club</a>"
